"","cancer","train","test"
"1","TCGA-ACC",0.800152264940997,0.555112881806109
"2","TCGA-BLCA",0.694997310381926,0.917630057803468
"3","TCGA-BRAIN",0.599535823912555,0.497878359264498
"4","TCGA-BRCA",0.847846543612016,0.395131086142322
"5","TCGA-CESC",0.816808769792935,0.608121827411167
"8","TCGA-COADREAD",0.553362270910845,0.766917293233083
"9","TCGA-DLBC",0.81884241122204,0.318181818181818
"10","TCGA-ESCA",0.78291119449656,0.400926998841251
"14","TCGA-KIDNEY",0.823126774921721,0.623711340206186
"15","TCGA-KIRC",0.896978739276389,0.581818181818182
"16","TCGA-KIRP",0.900232018561485,0.551898734177215
"18","TCGA-LGG",0.775569800569801,0.288759689922481
"19","TCGA-LIHC",0.61844364658133,0.509411764705882
"20","TCGA-LUAD",0.647488502119217,0.699145962732919
"21","TCGA-LUNG",0.866084180458708,0.535580524344569
"22","TCGA-LUSC",0.874625748502994,0.676470588235294
"24","TCGA-OV",0.623664722458877,0.806910569105691
"25","TCGA-PAAD",0.868453205180419,0.397330595482546
"27","TCGA-PRAD",0.899665323406871,0.657381615598886
"28","TCGA-READ",0.796787038308389,0.675257731958763
"29","TCGA-SARC",0.821961848967636,0.376953125
"31","TCGA-STAD",0.694997310381926,0.917630057803468
"32","TCGA-TGCT",0.875895154001252,0.826754385964912
"33","TCGA-THCA",0.899665323406871,0.657381615598886
"35","TCGA-UCEC",0.811818612735029,0.465986394557823
